$map << EOD
0.27 0.65 78.06


-0.02 0.16 81.37
0.04 0.11 78.41
-0.03 0.10 80.82
-0.02 0.16 81.37


-0.03 -0.35 78.21
0.06 -0.31 73.24
0.03 -0.40 73.21
-0.03 -0.35 78.21


0.65 0.31 61.18
0.57 0.40 67.28
0.65 0.42 65.44
0.65 0.31 61.18


0.06 -0.15 74.70
-0.02 -0.19 78.15
0.01 -0.10 77.19
0.06 -0.15 74.70


0.54 0.60 76.26
0.62 0.60 74.33
0.60 0.49 70.27
0.54 0.60 76.26


0.81 -0.50 40.36
0.78 -0.60 36.04
0.69 -0.52 40.13
0.81 -0.50 40.36


-0.01 0.26 82.95
0.04 0.20 80.00
-0.03 0.22 82.61
-0.01 0.26 82.95


0.52 0.50 72.57
0.54 0.60 76.26
0.60 0.49 70.27
0.52 0.50 72.57


-0.09 0.11 82.72
-0.02 0.16 81.37
-0.03 0.10 80.82
-0.09 0.11 82.72


0.33 -0.07 64.10
0.31 0.03 66.58
0.41 -0.00 61.82
0.33 -0.07 64.10


-0.02 0.16 81.37
-0.09 0.21 83.90
-0.03 0.22 82.61
-0.02 0.16 81.37


0.06 -0.31 73.24
0.02 -0.23 75.67
0.09 -0.22 72.40
0.06 -0.31 73.24


0.06 -0.15 74.70
0.02 -0.23 75.67
-0.02 -0.19 78.15
0.06 -0.15 74.70


-0.11 0.04 83.20
-0.17 0.07 85.22
-0.14 0.11 84.25
-0.11 0.04 83.20


0.01 -0.01 78.10
0.08 -0.06 74.83
0.01 -0.10 77.19
0.01 -0.01 78.10


-0.04 0.05 80.78
0.01 -0.01 78.10
-0.05 -0.00 80.64
-0.04 0.05 80.78


0.81 0.30 54.53
0.87 0.20 45.33
0.78 0.17 49.04
0.81 0.30 54.53


-0.03 0.45 85.56
0.05 0.50 81.12
0.07 0.43 81.32
-0.03 0.45 85.56


0.65 0.31 61.18
0.68 0.18 54.82
0.59 0.23 60.40
0.65 0.31 61.18


0.03 0.38 83.77
-0.03 0.45 85.56
0.07 0.43 81.32
0.03 0.38 83.77


0.36 0.61 78.05
0.34 0.52 76.02
0.27 0.57 77.37
